Aika[s]	Askeleet	Voimamittaus[V/V]	Siirtymä[mm]	Sellipaine-mitattu[kPa]	Huokosvedenpaine[kPa]	Vaaka[g]	Voimamittaus[kg]	Nousunopeus[mm/min]	Kompensoitu siirtymä[mm]	Suhteellinen kokoonpuristuma[%]	Suhteellinen tilavuuden muutos[%]	Maksimileikkausjännitys[kPa]
582502,576166	60426,000000	-0,000948	19,473879	90,900082	5,938623	15,810000	48,243765	0,002000	19,412462	17,684669	0,076401	11,236959
582513,076056	60428,000000	-0,000947	19,473812	90,894905	5,923512	15,810000	48,190098	0,002000	19,413107	17,685257	0,076401	11,224467
582524,076353	60429,000000	-0,000948	19,474423	90,872347	5,936093	15,820000	48,243864	0,002000	19,413426	17,685548	0,076449	11,237495
582534,576523	60430,000000	-0,000948	19,475269	90,885458	5,931328	15,820000	48,267958	0,002000	19,413746	17,685839	0,076449	11,243003
582545,076383	60431,000000	-0,000948	19,475501	90,905434	5,929248	15,820000	48,221352	0,002000	19,414069	17,686134	0,076449	11,232119
582555,576781	60432,000000	-0,000949	19,475817	90,896952	5,949120	15,820000	48,287040	0,002000	19,414387	17,686424	0,076449	11,247381
582566,475928	60433,000000	-0,000948	19,475907	90,898992	5,945145	15,810000	48,220634	0,002000	19,414712	17,686719	0,076401	11,231322
582576,876344	60434,000000	-0,000948	19,476726	90,883339	5,929723	15,810000	48,253113	0,002000	19,415032	17,687011	0,076401	11,238787
582587,776121	60435,000000	-0,000947	19,476281	90,900199	5,943832	15,820000	48,193966	0,002000	19,415356	17,687306	0,076449	11,225644
582598,876052	60436,000000	-0,000948	19,477002	90,887204	5,910484	15,820000	48,256944	0,002000	19,415674	17,687596	0,076449	11,240225
582609,476493	60438,000000	-0,000947	19,477227	90,882440	5,943760	0,000000	48,197092	0,002000	19,416320	17,688184	0,000000	10,379111
582620,076240	60439,000000	-0,000948	19,477751	90,871046	5,949744	15,820000	48,222741	0,002000	19,416640	17,688476	0,076449	11,232166
582630,676208	60440,000000	-0,000949	19,478947	90,907957	5,920758	15,820000	48,281653	0,002000	19,416958	17,688766	0,076449	11,245741
582641,676216	60441,000000	-0,000948	19,478647	90,879154	5,963831	15,820000	48,227975	0,002000	19,417282	17,689061	0,076449	11,233275
582652,476107	60442,000000	-0,000948	19,479038	90,897704	5,930659	15,820000	48,266692	0,002000	19,417601	17,689352	0,076449	11,242245
582662,975843	60443,000000	-0,000947	19,478910	90,887838	5,918258	0,000000	48,208499	0,002000	19,417925	17,689647	0,000000	10,381377
582673,576287	60444,000000	-0,000948	19,479236	90,874562	5,948403	15,820000	48,268188	0,002000	19,418244	17,689937	0,076449	11,242570
582684,776113	60445,000000	-0,000947	19,479338	90,897070	5,969746	0,000000	48,203461	0,002000	19,418568	17,690233	0,000000	10,380243
582695,775837	60446,000000	-0,000948	19,480111	90,875054	5,952565	15,820000	48,238837	0,002000	19,418888	17,690524	0,076449	11,235626
582706,376456	60448,000000	-0,000948	19,480768	90,912504	5,956114	15,820000	48,251626	0,002000	19,419530	17,691109	0,076449	11,238524
582716,876769	60449,000000	-0,000948	19,480636	90,870313	5,924331	0,000000	48,236448	0,002000	19,419852	17,691402	0,000000	10,387199
582727,576281	60450,000000	-0,000948	19,481025	90,910896	5,935708	0,000000	48,260806	0,002000	19,420172	17,691694	0,000000	10,392400
582738,276556	60451,000000	-0,000947	19,481030	90,888959	5,947091	0,000000	48,207139	0,002000	19,420496	17,691989	0,000000	10,380843
582749,076393	60452,000000	-0,000949	19,482278	90,891828	5,945298	0,000000	48,273361	0,002000	19,420814	17,692278	0,000000	10,394961
582759,475840	60453,000000	-0,000948	19,481882	90,913108	5,950586	0,000000	48,218463	0,002000	19,421138	17,692574	0,000000	10,383185
582770,476323	60454,000000	-0,000948	19,482561	90,918780	5,952365	15,820000	48,244946	0,002000	19,421458	17,692865	0,076449	11,236748
582781,076186	60455,000000	-0,000947	19,482791	90,868094	5,968021	0,000000	48,187639	0,002000	19,421782	17,693160	0,000000	10,376444
582791,676400	60456,000000	-0,000948	19,483817	90,884278	5,962653	0,000000	48,252435	0,002000	19,422100	17,693450	0,000000	10,390281
582802,576611	60458,000000	-0,000947	19,483802	90,892553	5,972402	0,000000	48,213124	0,002000	19,422745	17,694037	0,000000	10,381817
582813,276535	60459,000000	-0,000948	19,483971	90,907190	5,931887	0,000000	48,221601	0,002000	19,423066	17,694330	0,000000	10,383624
582823,576869	60460,000000	-0,000949	19,484030	90,886101	5,944835	15,820000	48,273577	0,002000	19,423384	17,694620	0,076449	11,243236
582833,876337	60461,000000	-0,000948	19,484398	90,916902	5,966579	0,000000	48,231837	0,002000	19,423708	17,694915	0,000000	10,385779
582844,275852	60462,000000	-0,000948	19,485301	90,891024	5,924955	0,000000	48,264764	0,002000	19,424027	17,695206	0,000000	10,392767
582854,876494	60463,000000	-0,000947	19,485811	90,912407	5,937827	0,000000	48,201416	0,002000	19,424352	17,695501	0,000000	10,379068
582865,675859	60464,000000	-0,000948	19,485637	90,902351	5,951958	0,000000	48,267822	0,002000	19,424670	17,695791	0,000000	10,393387
582876,076348	60465,000000	-0,000947	19,485970	90,915179	5,949198	0,000000	48,215948	0,002000	19,424994	17,696086	0,000000	10,382179
