Aika_s_	SuhteellinenKokoonpuristuma___	Maksimileikkausj_nnitys_kPa_	Huokosvedenpaine_kPa_	Sellipaine_mitattu_kPa_	SuhteellinenTilavuudenMuutos___	Voimamittaus_kg_	Siirtym__mm_	Vaaka_g_	Var1
420802.576683	12.774995	9.427819	6.878496	90.933362	0.055138	39.079536	14.044374	11.41	5
423192.575953	12.847578	9.462271	6.957	90.900082	0.055476	39.241107	14.125072	11.48	5
425582.576257	12.920163	9.488072	6.950508	90.887799	0.055621	39.374422	14.204609	11.51	5
427972.576422	12.992745	9.523654	6.955953	90.944872	0.056008	39.538471	14.283901	11.59	5
430362.676354	13.065329	9.552336	6.973084	90.906123	0.056346	39.676712	14.364899	11.66	5
432752.676024	13.137912	9.589791	6.908967	90.869453	0.056684	39.850592	14.443555	11.73	5
435142.775954	13.210495	9.623726	6.868523	90.917597	0.056974	40.012373	14.523027	11.79	5
437532.776448	13.283079	9.653749	6.809519	90.918686	0.057361	40.154382	14.603414	11.87	5
439922.77653	13.355661	9.688539	6.752766	90.914829	0.057699	40.318428	14.68386	11.94	5
442313.476686	13.428245	9.719365	6.738467	90.918956	0.057989	40.468149	14.764211	12	5
444703.676271	13.50083	9.744986	6.707792	90.916797	0.058376	40.591695	14.843244	12.08	5
447093.776022	13.573413	9.775855	6.734736	90.947389	0.058617	40.744158	14.924042	12.13	5
449483.77657	13.645998	9.798193	6.764507	90.903384	0.058907	40.858622	15.003555	12.19	5
451873.776147	13.718582	9.830032	6.889116	90.932616	0.059245	41.011085	15.083767	12.26	5
454263.776311	13.791164	9.867042	6.898944	90.935472	0.059825	41.174822	15.163889	12.38	5
456653.77588	13.863748	9.898648	6.970194	90.940174	0.06026	41.322202	15.243619	12.47	5
459047.176035	13.936332	9.925985	6.946007	90.92148	0.060743	41.450372	15.32472	12.57	5
461437.176609	14.008917	9.954499	6.974258	90.942674	0.06113	41.587025	15.404081	12.65	5
463827.276264	14.081501	9.502173	6.992059	90.947911	0.013289	41.726352	15.48492	2.75	5
466217.276356	14.154084	10.014909	7.088477	90.959743	0.062048	41.869728	15.565646	12.84	5
468607.276304	14.226669	10.039359	7.085504	90.933941	0.06258	41.983852	15.646127	12.95	5
470997.276412	14.299253	10.072759	7.096892	90.932668	0.063015	42.139627	15.726252	13.04	5
473387.476103	14.371838	10.09847	7.129002	90.969711	0.063595	42.257648	15.80806	13.16	5
475777.576675	14.444422	10.125474	7.063376	90.940881	0.064078	42.384527	15.887749	13.26	5
478167.576205	14.517005	10.158496	7.059375	90.940532	0.064464	42.541265	15.967949	13.34	5
480557.575943	14.589296	10.190661	7.037517	90.938808	0.064899	42.692736	16.04893	13.43	5
482947.576515	14.66188	10.217444	7.087457	90.931062	0.065286	42.823796	16.129524	13.51	5
485337.676427	14.734462	10.258261	6.987884	90.933787	0.065721	43.012075	16.211071	13.6	5
487727.676015	14.807046	10.288163	6.957385	90.920295	0.066204	43.151744	16.290886	13.7	5
490117.676589	14.87963	10.317267	6.881974	90.882087	0.066736	43.286981	16.372933	13.81	5
492507.676839	14.952215	10.34352	6.791715	90.931141	0.067171	43.413686	16.452581	13.9	5
494897.775989	15.024799	10.372455	6.753037	90.939359	0.067509	43.55702	16.533971	13.97	5
497287.876371	15.097381	10.408679	6.628087	90.9198	0.067847	43.730949	16.614961	14.04	5
499677.97601	15.169965	10.43616	6.526126	90.894424	0.068185	43.867794	16.694822	14.11	5
502067.975849	15.242549	10.466011	6.482412	90.928063	0.068475	44.017933	16.776663	14.17	5
504458.476609	15.31513	10.508761	6.476451	90.893224	0.068765	44.221406	16.856105	14.23	5
506848.576189	15.387715	10.529234	6.437393	90.916699	0.0692	44.324681	16.935894	14.32	5
509238.67646	15.460296	10.577122	6.401742	90.935057	0.069683	44.541682	17.016651	14.42	5
511628.975838	15.53288	10.607716	6.368738	90.926653	0.070167	44.686186	17.097803	14.52	5
514019.67614	15.605465	10.628033	6.243835	90.918037	0.070553	44.79175	17.178241	14.6	5
516409.776114	15.678047	10.66164	6.221409	90.888148	0.070698	44.965383	17.259511	14.63	5
518800.176635	15.750631	10.69127	6.098585	90.95692	0.070843	45.122196	17.340179	14.66	5
